Vial ID,Age,Treatment,Strain,Sex
34,7,3.0x,FS14,M
52,35,3.0x,FS14,M
74,28,0.5x,FS14,M
97,35,1.0x,FS14,M
99,21,0.5x,FS14,M
13,21,0.5x,FS14,M
34,7,3.0x,FS14,M
52,35,3.0x,FS14,M
64,42,0.5x,FS14,M
74,35,0.5x,FS14,M
97,35,1.0x,FS14,M
99,21,0.5x,FS14,M
13,28,0.5x,FS14,M
34,7,3.0x,FS14,M
52,35,3.0x,FS14,M
64,49,0.5x,FS14,M
74,49,0.5x,FS14,M
97,63,1.0x,FS14,M
99,21,0.5x,FS14,M
12,49,1.0x,FS14,M
13,28,0.5x,FS14,M
34,84,3.0x,FS14,M
35,70,1.0x,FS14,M
52,70,3.0x,FS14,M
64,49,0.5x,FS14,M
74,49,0.5x,FS14,M
79,35,1.0x,FS14,M
83,49,0.5x,FS14,M
87,35,1.0x,FS14,M
93,49,3.0x,FS14,M
97,70,1.0x,FS14,M
98,49,3.0x,FS14,M
99,28,0.5x,FS14,M
12,49,1.0x,FS14,M
35,70,1.0x,FS14,M
79,70,1.0x,FS14,M
83,49,0.5x,FS14,M
87,35,1.0x,FS14,M
98,63,3.0x,FS14,M
12,49,1.0x,FS14,M
79,70,1.0x,FS14,M
83,49,0.5x,FS14,M
87,63,1.0x,FS14,M
98,70,3.0x,FS14,M
12,49,1.0x,FS14,M
79,70,1.0x,FS14,M
87,84,1.0x,FS14,M
36,28,0.5x,MV2-25,M
39,14,1.0x,MV2-25,M
49,70,0.5x,MV2-25,M
59,49,1.0x,MV2-25,M
4,14,0.5x,MV2-25,M
10,28,1.0x,MV2-25,M
27,14,0.5x,MV2-25,M
36,63,0.5x,MV2-25,M
39,63,1.0x,MV2-25,M
42,21,1.0x,MV2-25,M
44,28,3.0x,MV2-25,M
49,70,0.5x,MV2-25,M
58,28,0.5x,MV2-25,M
59,70,1.0x,MV2-25,M
62,7,1.0x,MV2-25,M
71,42,3.0x,MV2-25,M
81,21,3.0x,MV2-25,M
85,14,3.0x,MV2-25,M
4,28,0.5x,MV2-25,M
10,49,1.0x,MV2-25,M
42,28,1.0x,MV2-25,M
44,28,3.0x,MV2-25,M
58,28,0.5x,MV2-25,M
62,7,1.0x,MV2-25,M
71,70,3.0x,MV2-25,M
81,35,3.0x,MV2-25,M
85,42,3.0x,MV2-25,M
4,35,0.5x,MV2-25,M
42,35,1.0x,MV2-25,M
44,42,3.0x,MV2-25,M
58,63,0.5x,MV2-25,M
62,35,1.0x,MV2-25,M
71,70,3.0x,MV2-25,M
81,70,3.0x,MV2-25,M
85,70,3.0x,MV2-25,M
4,63,0.5x,MV2-25,M
42,35,1.0x,MV2-25,M
44,49,3.0x,MV2-25,M
58,63,0.5x,MV2-25,M
85,70,3.0x,MV2-25,M
42,35,1.0x,MV2-25,M
44,77,3.0x,MV2-25,M
42,35,1.0x,MV2-25,M
42,84,1.0x,MV2-25,M
42,91,1.0x,MV2-25,M
5,70,1.0x,TL265,M
5,77,1.0x,TL265,M
5,77,1.0x,TL265,M
11,28,3.0x,TL265,M
5,77,1.0x,TL265,M
11,35,3.0x,TL265,M
23,21,0.5x,TL265,M
53,35,0.5x,TL265,M
60,42,3.0x,TL265,M
66,84,0.5x,TL265,M
73,28,1.0x,TL265,M
77,28,0.5x,TL265,M
84,77,3.0x,TL265,M
90,14,1.0x,TL265,M
90,35,1.0x,TL265,M
90,84,1.0x,TL265,M
90,84,1.0x,TL265,M
91,35,1.0x,TL265,M
91,63,1.0x,TL265,M
91,70,1.0x,TL265,M
91,70,1.0x,TL265,M
91,70,1.0x,TL265,M
23,28,0.5x,TL265,M
53,49,0.5x,TL265,M
60,42,3.0x,TL265,M
73,70,1.0x,TL265,M
23,49,0.5x,TL265,M
60,70,3.0x,TL265,M
73,77,1.0x,TL265,M
23,70,0.5x,TL265,M
60,70,3.0x,TL265,M
73,91,1.0x,TL265,M
23,84,0.5x,TL265,M
60,70,3.0x,TL265,M
