Vial ID,Age,Treatment,Strain,Sex
43,77,1.0x,FS14,F
76,70,1.0x,FS14,F
21,28,0.5x,FS14,F
41,35,3.0x,FS14,F
43,84,1.0x,FS14,F
76,91,1.0x,FS14,F
21,63,0.5x,FS14,F
41,35,3.0x,FS14,F
43,84,1.0x,FS14,F
61,42,3.0x,FS14,F
76,91,1.0x,FS14,F
92,49,0.5x,FS14,F
21,91,0.5x,FS14,F
41,42,3.0x,FS14,F
43,84,1.0x,FS14,F
45,14,1.0x,FS14,F
61,42,3.0x,FS14,F
76,91,1.0x,FS14,F
92,49,0.5x,FS14,F
16,28,0.5x,FS14,F
19,77,3.0x,FS14,F
21,105,0.5x,FS14,F
32,63,0.5x,FS14,F
41,42,3.0x,FS14,F
43,84,1.0x,FS14,F
45,91,1.0x,FS14,F
46,77,1.0x,FS14,F
50,77,1.0x,FS14,F
61,42,3.0x,FS14,F
76,91,1.0x,FS14,F
92,49,0.5x,FS14,F
100,7,0.5x,FS14,F
16,35,0.5x,FS14,F
19,91,3.0x,FS14,F
32,63,0.5x,FS14,F
46,77,1.0x,FS14,F
50,77,1.0x,FS14,F
100,35,0.5x,FS14,F
16,42,0.5x,FS14,F
32,63,0.5x,FS14,F
46,84,1.0x,FS14,F
50,77,1.0x,FS14,F
100,35,0.5x,FS14,F
46,84,1.0x,FS14,F
50,77,1.0x,FS14,F
100,35,0.5x,FS14,F
46,84,1.0x,FS14,F
50,77,1.0x,FS14,F
100,63,0.5x,FS14,F
100,77,0.5x,FS14,F
43,77,1.0x,FS14,F
43,77,1.0x,FS14,F
18,7,3.0x,MV2-25,F
25,7,3.0x,MV2-25,F
82,7,1.0x,MV2-25,F
3,7,0.5x,MV2-25,F
18,35,3.0x,MV2-25,F
25,7,3.0x,MV2-25,F
57,77,1.0x,MV2-25,F
72,98,0.5x,MV2-25,F
78,7,1.0x,MV2-25,F
82,77,1.0x,MV2-25,F
3,63,0.5x,MV2-25,F
18,49,3.0x,MV2-25,F
25,7,3.0x,MV2-25,F
31,7,0.5x,MV2-25,F
57,77,1.0x,MV2-25,F
72,98,0.5x,MV2-25,F
78,14,1.0x,MV2-25,F
82,77,1.0x,MV2-25,F
3,91,0.5x,MV2-25,F
18,77,3.0x,MV2-25,F
25,14,3.0x,MV2-25,F
31,91,0.5x,MV2-25,F
57,77,1.0x,MV2-25,F
72,98,0.5x,MV2-25,F
78,70,1.0x,MV2-25,F
82,84,1.0x,MV2-25,F
86,7,3.0x,MV2-25,F
2,35,3.0x,MV2-25,F
3,98,0.5x,MV2-25,F
6,7,0.5x,MV2-25,F
18,84,3.0x,MV2-25,F
25,70,3.0x,MV2-25,F
28,77,1.0x,MV2-25,F
29,70,1.0x,MV2-25,F
31,98,0.5x,MV2-25,F
54,35,3.0x,MV2-25,F
57,77,1.0x,MV2-25,F
72,105,0.5x,MV2-25,F
78,77,1.0x,MV2-25,F
82,84,1.0x,MV2-25,F
86,70,3.0x,MV2-25,F
94,7,0.5x,MV2-25,F
2,70,3.0x,MV2-25,F
6,7,0.5x,MV2-25,F
28,77,1.0x,MV2-25,F
29,70,1.0x,MV2-25,F
54,35,3.0x,MV2-25,F
94,7,0.5x,MV2-25,F
6,14,0.5x,MV2-25,F
28,77,1.0x,MV2-25,F
29,77,1.0x,MV2-25,F
54,42,3.0x,MV2-25,F
94,7,0.5x,MV2-25,F
6,14,0.5x,MV2-25,F
28,77,1.0x,MV2-25,F
29,84,1.0x,MV2-25,F
54,42,3.0x,MV2-25,F
94,7,0.5x,MV2-25,F
29,84,1.0x,MV2-25,F
54,77,3.0x,MV2-25,F
70,35,1.0x,TL265,F
8,63,3.0x,TL265,F
70,70,1.0x,TL265,F
8,70,3.0x,TL265,F
70,70,1.0x,TL265,F
80,28,0.5x,TL265,F
8,70,3.0x,TL265,F
47,49,0.5x,TL265,F
70,70,1.0x,TL265,F
80,28,0.5x,TL265,F
8,70,3.0x,TL265,F
15,49,3.0x,TL265,F
26,35,1.0x,TL265,F
38,49,0.5x,TL265,F
40,35,1.0x,TL265,F
47,63,0.5x,TL265,F
48,63,1.0x,TL265,F
68,70,1.0x,TL265,F
70,70,1.0x,TL265,F
75,14,3.0x,TL265,F
80,63,0.5x,TL265,F
88,21,0.5x,TL265,F
26,35,1.0x,TL265,F
38,63,0.5x,TL265,F
40,35,1.0x,TL265,F
48,70,1.0x,TL265,F
68,77,1.0x,TL265,F
75,42,3.0x,TL265,F
88,28,0.5x,TL265,F
26,63,1.0x,TL265,F
38,63,0.5x,TL265,F
40,63,1.0x,TL265,F
48,70,1.0x,TL265,F
68,84,1.0x,TL265,F
75,63,3.0x,TL265,F
88,35,0.5x,TL265,F
26,84,1.0x,TL265,F
38,77,0.5x,TL265,F
40,63,1.0x,TL265,F
88,35,0.5x,TL265,F
26,91,1.0x,TL265,F
88,35,0.5x,TL265,F
88,63,0.5x,TL265,F
